d88ff606	e7a22297	30634dec
3fb3aae9	fd5fff9d	81cd55f7
afc05f44	3bd56853	b366c42d
1ead48a2	a7065640	b7251c10
304c309a	fbc36d45	80000000
26b9e976	55d1a531	106304dd
716e3a7e	b9b4e989	f7288d7d
11772548	83464dc8	cd9f86b0
7e4895eb	ce876df0	ef3d94f1
9aed0f8f	a6a5b867	33b71a33
4b993f5e	0c35e3f1	7ed7afd6
cb860f13	787ffcaf	928610d0
b3351d64	10c5e63a	e1ea49ab
a8264e83	dd2df4b8	0a74be3b
fcfb1f3f	ef00f4af	4d7942c3
f39bc5e8	25a1544e	ff800000
53faf4c4	99b7f6b5	f9ae9cd4
8b608d2d	bb860dbe	0f566939
15b6b7a1	d0af3b77	848577ae
01e386e8	94dd733c	ac838331
407f6fee	87bc1fba	f82dccd6
024fe1db	15239881	2ca2a688
b5b081d7	b1dda291	434be000
092b1024	87742a43	c1335aca
1d0a39fc	a2aeec07	b9ca4bba
9028ea64	e58bfe29	00000000
c239c1c2	85a242cf	7c1288e9
ef6ebd5b	03c5c9a8	ff800000
11e95231	cf2c7cd9	822d24b3
2b5b5d87	150db1d6	55c629f3
f4025239	2d52721c	ff800000
9a0f09f0	c3c91f3e	15b61179
2fe25251	b160d957	be00d69a
d9e2f7b0	0f601664	ff800000
aad2f54f	5c6394dd	8ded4d0c
34b1feb1	2adce57f	494e47e0
5ca4b572	0c7dbc09	7f800000
8aa57e85	2c5b4ef6	9dc12eae
b6f83548	4e00b876	a876d197
bfe11db5	0918acf7	f63cbb84
6755f15c	f4cb16dd	b206d730
3f181748	335251d2	4b391fd5
89c567cf	ed4a7cf8	00000000
935fa915	6e1ebc86	80000000
049aff6b	42292f0f	01ea88cb
32efb436	e96cc496	89019657
3f92ad12	6c7008d7	129c6e94
6da6c4b2	b12d1b7e	fbf6a020
8b239a44	22f1d18d	a7ad3273
f3597f06	51f11802	e0e6f184
c77923c5	e163d71c	258bf74a
0de8bedb	f86c7c93	80000000
4af5e1e9	33dfa867	568cb81f
013a9334	b0a1bf71	9013a5aa
c2407e51	e78c9e06	1a2f38ae
196cc6ba	91faf511	c6f188b6
377104b0	4ba50ba8	2b3aeb92
44de1553	29fcb70d	5a60f857
db84a0e5	e96649a1	31936fd9
90fd070e	217d6096	aeffa58b
b0b5a3e6	6b1fc32d	8511873e
4a39fe63	a90142d4	e0b82ddf
8c484396	6bb14ed4	80000000
b6939e52	16ad3a63	df5a2750
7665d8fc	66995bdd	4f3fd743
2bd890bc	fe6e8b6e	80000000
23a1b7c2	c66f33ca	9cad1302
ef7600cf	4175c361	ed801fff
0881c9db	8abcd160	bd2ff7be
51e61099	0b27badd	7f800000
9b8c9ecb	cd05a497	0e06aec8
573a08b1	1c0654df	7ab143f8
ef57f09c	1b3733f0	ff800000
ca71095a	477e25c6	c272cb1d
