cc697c16	8ac7c609	17b63413
2cb93fd0	3f5ac43b	2c9e4e57
36a65939	22695093	19979b90
f499daab	462bf97d	fb4eb602
89a5e358	f48f2f60	3eb99162
563c4f1c	31a73ebe	48760b84
ab495979	e05e0488	4c2e9f27
0258df71	8a1bd42f	80000000
8c3050ed	4317b1c9	8fd0f45c
0b0d974e	be571920	89edeff0
4825be8b	dfe7131f	e8959b51
e93b287f	dfd09224	7f800000
afa682ba	5fefcc86	d01bf913
5e68a519	97c9327e	b6b6d783
c59878d0	3303c56b	b91cf6ce
e23fc959	a89dad3b	4b6c4086
2310e263	d63118e2	b9c87537
bda3a3db	ea9f0ff3	68cb59ee
74f9db56	9dc1d9c8	d33d32ea
095ca708	6d79a37c	37572b60
3aa42c2c	fe1bc018	f947c3de
703d9cc5	4326479e	73f65166
08f05352	aad2cbc4	80000000
e9e55838	484b0173	f2b5de41
7a5f22eb	8346ec77	be2d631e
e02df4cf	ab1850d7	4bcf0093
540dd7bf	ee2de32a	ff800000
e5d706c0	92b6710b	39193dc0
823c02e6	39a9ba3f	80000000
f46f3766	10fef0d3	c5ee3a00
ae3aaaed	d9d19961	4898d562
210d65ef	9857c97b	80000000
77d3d617	8ecc2c8a	c728f375
11e5f56f	cea39309	a112ef5a
cb1208aa	2c1e81d0	b7b4d6cc
405fd184	2fd75324	30bc41a6
5e9ff43f	426ed4ae	619539f6
9453be98	dcf104a7	31c75a46
b3f1a962	7c25f575	f09ca9e2
79f8e01d	3dd9ea5d	7853d9d0
10f4d2f5	4e9e801e	201794b9
dd9b8e68	cf1a79f3	6d3bbb89
7e38750f	a58ed2b3	e44dd17f
6febbf3a	42ff5e53	736b2a57
c0db6881	afe4c1ea	31440f45
b72948af	a5bdd8ed	1d7b1436
6bfd208c	a127d297	cda5f075
fb4c840a	fefa636f	7f800000
fb89c90c	bb337b44	774133d7
acb62761	b8e3274b	2621a0e0
1ec46e36	c6a979fa	a6020a5a
1f23afcd	5f0d3a61	3eb49a50
370cea5d	cce95d9a	c48074d5
488daf90	6d1709ef	7627301b
849cd366	20bbf22a	80000000
fd7f448e	5c091c42	ff800000
5fbd5957	b7a1aace	d7ef270b
3e521fcc	4a52d33f	492d0b79
7bae16e5	9131d0a6	cd71d770
b7f7a29b	cb138ed6	438ebc8a
020383fe	fd231739	bfa791f2
dbe33c55	82c52c3c	1f2f04b1
f184de01	be4930a9	7050d720
5bf2cd46	bbc224f3	d838229a
