79796587	5c7cad3e
560af8eb	4abc9e52
d5dc6284	ffc00000
a8a56d85	ffc00000
c94ccfe8	ffc00000
bf2248ce	ffc00000
9b652273	ffc00000
8f66cd53	ffc00000
8a023d26	ffc00000
7a19fd69	5cc68c5b
8c263c65	ffc00000
81405d3f	ffc00000
d2539957	ffc00000
54443582	49e01e91
58424238	4bdf00b3
421b9345	40c79155
4c460eb7	45e12c32
0f47b405	27621b31
d19ffa05	ffc00000
16fd7d78	2b342139
f0a17821	ffc00000
859ba70d	ffc00000
14d1cd77	2a23dfc7
b1197184	ffc00000
6e469a8e	56e17ba2
a3257e09	ffc00000
82f2e63e	ffc00000
9d0c71e1	ffc00000
461b08c4	42c7386c
a2ffcc7a	ffc00000
9e17ff00	ffc00000
52d82c05	492657d2
155a3d4c	2a6c5deb
d86b64b4	ffc00000
7c035095	5db75927
7012262d	57c16d6d
56656429	4af254a8
405eec6c	3feee3d6
92d14151	ffc00000
1c45a0f0	2de0edc2
ccd3d5dc	ffc00000
629b028f	510cdbec
5b0a1000	4d3c0000
7a84018d	5d01fcd3
6fe9f18d	57ad0bac
9b9d7915	ffc00000
e6e453cd	ffc00000
d06582e9	ffc00000
0a44f9d1	24e08e93
fd36d111	ffc00000
7236ead7	58d86525
1855a0ab	2be9db28
bebbd7b5	ffc00000
1af2746b	2d302a50
507bda8c	47fdeb1b
6389b888	5184c580
96cd72d9	ffc00000
1e49b743	2ee33e24
b7f71198	ffc00000
afc61273	ffc00000
f2b3803c	ffc00000
41530e6a	406871c6
776aeab4	5b753b60
8e9547e4	ffc00000
ef76a574	ffc00000
a0484ca1	ffc00000
417f056a	407f8296
f3ba93db	ffc00000
63067706	513988d0
8b460319	ffc00000
b7249b2b	ffc00000
795721bf	5c6aad8f
bb455694	ffc00000
df8bcb73	ffc00000
9f476d6a	ffc00000
f8f9991d	ffc00000
5d6c4084	4e75ed89
e268ddbc	ffc00000
b7297164	ffc00000
34356bc4	39d78217
aba4fa53	ffc00000
097ca730	247e522f
4a1c625c	44c815fc
53f1ec0c	49aff8be
2d37efbc	3658ff41
b5c79c25	ffc00000
d4799939	ffc00000
8f1f71bc	ffc00000
25a85c00	3292cc97
7885013c	5c027a7a
df8743ee	ffc00000
7118b3f4	5845b784
cdf9fa7f	ffc00000
d56fbdfd	ffc00000
f67b4303	ffc00000
54c4b036	4a1eab78
7ce5fa7b	5e2b92a6
a862e3cc	ffc00000
384715cd	3be1c18d
09597506	246bf15e
